DatasetID,PathID,PathString,path_fidelity,avg_time_us
0,77,n1->n11->n12->n13->n14->n15->n25->n35->n34->n33->n43->n42->n41->n51->n52->n62->n63->n64->n65->n55->n45->n46->n47->n48->n49->n39->n29->n30->n20->n10,0.581781,1557.759612
0,83,n1->n2->n3->n4->n14->n24->n34->n44->n45->n35->n25->n15->n5->n6->n7->n8->n9->n10,0.677751,1202.659117
0,85,n1->n2->n3->n4->n14->n24->n34->n44->n54->n55->n56->n46->n45->n35->n25->n26->n27->n17->n7->n8->n9->n10,0.630751,1394.195627
0,90,n1->n11->n21->n31->n41->n51->n61->n62->n63->n73->n74->n84->n85->n75->n76->n66->n67->n57->n47->n48->n38->n39->n29->n19->n9->n10,0.590474,1586.877988
0,88,n1->n11->n21->n31->n41->n51->n61->n71->n72->n82->n83->n93->n94->n84->n85->n75->n76->n77->n67->n57->n56->n46->n36->n37->n38->n39->n29->n30->n20->n10,0.590627,1597.039059
0,82,n1->n11->n21->n31->n41->n51->n52->n53->n43->n44->n45->n46->n36->n26->n16->n17->n18->n19->n20->n10,0.660179,1039.883185
0,96,n1->n2->n12->n22->n32->n42->n52->n51->n61->n62->n63->n53->n54->n44->n34->n24->n25->n26->n27->n28->n29->n19->n9->n10,0.658044,1451.391972
0,87,n1->n11->n21->n31->n41->n42->n52->n53->n63->n73->n83->n84->n74->n75->n65->n66->n56->n46->n47->n37->n27->n28->n29->n19->n9->n10,0.588039,1562.128755
0,89,n1->n11->n12->n22->n32->n42->n52->n53->n54->n64->n74->n75->n65->n66->n56->n57->n47->n48->n58->n59->n49->n50->n40->n30->n20->n10,0.628281,1618.430793
0,80,n1->n11->n12->n13->n14->n15->n16->n26->n36->n46->n45->n44->n43->n42->n52->n62->n72->n73->n83->n84->n94->n95->n96->n97->n87->n77->n67->n57->n47->n37->n27->n28->n29->n30->n20->n10,0.546768,2151.589377
0,93,n1->n11->n21->n31->n41->n51->n52->n62->n72->n73->n74->n84->n85->n86->n87->n77->n78->n68->n69->n70->n60->n50->n49->n39->n38->n37->n27->n17->n7->n8->n9->n10,0.578343,1990.839662
0,95,n1->n2->n12->n22->n32->n42->n43->n53->n63->n64->n65->n66->n76->n86->n96->n97->n98->n88->n89->n79->n80->n70->n60->n50->n49->n48->n38->n28->n29->n19->n9->n10,0.577771,1783.675441
0,84,n1->n11->n21->n22->n32->n33->n43->n44->n54->n64->n74->n84->n85->n86->n87->n88->n78->n79->n69->n70->n60->n50->n40->n30->n20->n10,0.630281,1578.669405
0,76,n1->n11->n21->n31->n41->n42->n52->n53->n54->n64->n74->n84->n85->n86->n87->n77->n78->n79->n69->n70->n60->n50->n40->n39->n38->n28->n18->n19->n20->n10,0.603323,1730.296225
0,91,n1->n11->n21->n31->n41->n51->n61->n62->n72->n73->n74->n75->n85->n86->n76->n66->n67->n68->n58->n59->n49->n48->n38->n37->n36->n26->n16->n17->n18->n19->n20->n10,0.561242,1551.195346
0,103,n1->n2->n12->n22->n23->n33->n43->n53->n63->n64->n54->n44->n45->n35->n25->n15->n5->n6->n7->n8->n9->n10,0.641818,1449.509986
0,102,n1->n11->n21->n31->n41->n51->n61->n71->n72->n82->n83->n73->n63->n64->n54->n55->n65->n66->n67->n77->n78->n68->n69->n59->n60->n50->n40->n30->n20->n10,0.599039,1664.605314
0,98,n1->n2->n12->n13->n14->n15->n25->n35->n34->n33->n43->n53->n52->n62->n72->n73->n74->n75->n76->n66->n67->n57->n47->n37->n38->n39->n29->n19->n9->n10,0.588268,1940.285550
0,105,n1->n2->n3->n4->n14->n24->n25->n26->n36->n46->n56->n55->n65->n75->n76->n77->n67->n68->n58->n59->n49->n39->n38->n28->n29->n19->n9->n10,0.600499,1640.464429
0,106,n1->n11->n12->n13->n14->n15->n16->n26->n36->n46->n56->n57->n47->n37->n27->n17->n18->n19->n20->n10,0.623941,1131.441596
0,109,n1->n2->n3->n4->n14->n24->n34->n44->n54->n64->n65->n66->n56->n57->n67->n68->n69->n59->n49->n50->n40->n30->n20->n10,0.629398,1492.689310
0,94,n1->n11->n21->n31->n41->n51->n52->n62->n63->n73->n83->n84->n85->n95->n96->n86->n87->n88->n89->n79->n80->n70->n60->n59->n49->n48->n47->n37->n27->n17->n7->n8->n9->n10,0.587242,2128.300417
0,101,n1->n11->n21->n22->n23->n33->n32->n31->n41->n51->n52->n62->n63->n53->n54->n55->n45->n35->n25->n15->n5->n6->n7->n8->n9->n10,0.585316,1617.431534
0,97,n1->n11->n12->n13->n23->n33->n43->n53->n52->n51->n61->n71->n81->n82->n92->n93->n94->n95->n96->n86->n87->n77->n78->n68->n69->n59->n60->n50->n40->n30->n20->n10,0.574496,1697.308783
0,104,n1->n11->n21->n31->n41->n51->n61->n62->n63->n64->n65->n55->n56->n66->n76->n77->n78->n79->n69->n70->n60->n50->n40->n30->n20->n10,0.579194,1519.482603
0,108,n1->n11->n21->n31->n32->n42->n43->n53->n63->n73->n83->n93->n94->n84->n85->n75->n76->n77->n78->n68->n58->n57->n47->n37->n36->n26->n27->n17->n18->n19->n20->n10,0.588766,1770.520263
0,92,n1->n11->n21->n31->n41->n51->n52->n62->n72->n73->n83->n93->n94->n84->n85->n75->n76->n77->n78->n68->n58->n48->n47->n37->n36->n26->n27->n17->n18->n19->n20->n10,0.590529,1780.556599
0,99,n1->n2->n3->n4->n14->n24->n34->n44->n54->n53->n52->n62->n61->n71->n72->n82->n92->n93->n94->n95->n96->n97->n98->n88->n78->n79->n69->n59->n49->n50->n40->n30->n20->n10,0.575679,1902.942479
0,111,n1->n2->n12->n22->n32->n42->n52->n53->n54->n64->n74->n84->n85->n95->n96->n86->n87->n88->n78->n79->n69->n68->n58->n57->n56->n55->n45->n35->n25->n15->n5->n6->n7->n8->n9->n10,0.579019,2126.474241
0,110,n1->n11->n21->n31->n41->n51->n52->n62->n63->n73->n83->n84->n85->n95->n96->n86->n87->n77->n78->n79->n69->n59->n58->n48->n47->n37->n27->n17->n7->n8->n9->n10,0.586758,1918.117779
0,107,n1->n2->n3->n13->n23->n33->n43->n44->n54->n55->n56->n66->n76->n86->n87->n77->n67->n57->n47->n37->n38->n28->n18->n19->n20->n10,0.591509,1445.529286
0,116,n1->n2->n3->n13->n14->n15->n25->n35->n45->n44->n43->n53->n63->n62->n61->n71->n72->n73->n74->n64->n65->n55->n56->n46->n36->n26->n16->n17->n18->n19->n9->n10,0.595944,1887.342666
0,100,n1->n11->n12->n13->n14->n15->n16->n26->n36->n46->n45->n44->n54->n53->n63->n73->n74->n75->n76->n66->n67->n57->n47->n37->n27->n17->n18->n19->n20->n10,0.551187,1740.716430
0,113,n1->n2->n12->n22->n23->n24->n25->n26->n36->n46->n56->n66->n76->n86->n87->n88->n89->n79->n80->n70->n69->n59->n58->n57->n47->n37->n27->n28->n18->n19->n9->n10,0.578222,1813.917059
0,118,n1->n2->n3->n13->n23->n22->n32->n42->n52->n51->n61->n71->n72->n62->n63->n64->n54->n44->n34->n24->n14->n4->n5->n6->n7->n8->n9->n10,0.607916,1691.179573
0,123,n1->n2->n3->n13->n14->n15->n16->n26->n36->n46->n56->n55->n65->n66->n76->n77->n87->n88->n78->n79->n69->n59->n49->n39->n29->n30->n20->n10,0.603768,1646.725601
0,122,n1->n2->n3->n4->n14->n24->n34->n44->n43->n53->n63->n64->n74->n75->n76->n77->n67->n68->n58->n48->n49->n39->n29->n19->n9->n10,0.615846,1501.814007
0,124,n1->n11->n12->n13->n14->n15->n25->n35->n45->n55->n65->n75->n85->n86->n76->n66->n67->n57->n47->n37->n27->n17->n18->n19->n20->n10,0.621519,1458.554081
0,121,n1->n11->n21->n31->n41->n42->n52->n62->n72->n82->n83->n84->n74->n64->n65->n66->n67->n57->n47->n37->n27->n28->n18->n19->n20->n10,0.610617,1618.254310
0,117,n1->n2->n12->n22->n32->n33->n43->n53->n63->n62->n72->n82->n83->n93->n94->n95->n96->n97->n98->n88->n78->n68->n58->n48->n38->n28->n18->n19->n20->n10,0.608976,1526.846680
0,119,n1->n11->n12->n13->n14->n15->n16->n26->n36->n46->n56->n55->n54->n64->n63->n73->n74->n75->n85->n86->n87->n77->n67->n57->n47->n37->n27->n17->n18->n19->n20->n10,0.558132,1734.345412
0,120,n1->n2->n3->n4->n14->n24->n23->n22->n32->n42->n52->n62->n72->n73->n63->n53->n43->n44->n34->n35->n36->n37->n38->n28->n29->n30->n20->n10,0.602561,1546.582761
